UPTD PPA Banda Aceh,Pemerintah (UPTD),Hukum / Litigasi; Konseling & Psikologis; Shelter / Rumah Aman,Jl. Tgk Chik Ditiro No.12, Banda Aceh,0813-1100-2211,08:00-16:00
UPTD PPA Medan,Pemerintah (UPTD),Konseling & Psikologis; Medis; Rujukan & Pengaduan,Jl. Sisingamangaraja No.55, Medan,0812-7721-9833,08:00-15:00
RSUD Zainoel Abidin,Fasilitas Kesehatan,Medis; Rujukan & Pengaduan; Reintegrasi & Repatriasi,Jl. Teuku Umar No.1, Banda Aceh,(0651) 32111,24 Jam
P2TP2A Sumatera Utara,NGO,Konseling & Psikologis; Hukum / Litigasi; Shelter / Rumah Aman,Jl. Gajah Mada No.88, Medan,0821-5554-0099,09:00-17:00
Lembaga Harapan Perempuan,NGO,Pemberdayaan Ekonomi; Pelatihan & Keterampilan; Konseling Psikologis,Jl. Mawar Indah No.8, Medan,0813-1122-9000,09:00-15:00
Rumah Aman Tunas Putri,Shelter,Shelter / Rumah Aman; Medis; Reintegrasi & Repatriasi,Jl. Kutilang No.17, Pekanbaru,0822-9988-7100,24 Jam
RSUD Arifin Achmad,Fasilitas Kesehatan,Medis; Hukum / Litigasi; Rujukan & Pengaduan,Jl. Diponegoro No.32, Pekanbaru,(0761) 21011,24 Jam
UPTD PPA Riau,Pemerintah (UPTD),Hukum / Litigasi; Konseling & Psikologis; Pelatihan & Keterampilan,Jl. Jendral Sudirman No.2, Pekanbaru,0813-0012-8833,08:00-16:00
P2TP2A Kepulauan Riau,NGO,Hukum / Litigasi; Shelter / Rumah Aman; Medis,Jl. Hang Tuah No.19, Batam,0822-3311-8822,08:00-16:00
Yayasan Perempuan Mandiri,NGO,Pemberdayaan Ekonomi; Konseling; Pelatihan Kerja,Jl. Teratai No.22, Batam,0812-9000-8851,09:00-15:00
UPTD PPA Surabaya,Pemerintah (UPTD),Konseling & Psikologis; Hukum / Litigasi; Shelter,Jl. Dharmawangsa No.18, Surabaya,0813-1122-4433,08:00-16:00
RSUD Dr Soetomo,Fasilitas Kesehatan,Medis; Rujukan & Pengaduan,Jl. Moestopo No.6-8, Surabaya,(031) 5501078,24 Jam
Shelter Aman Surabaya,Shelter,Shelter / Rumah Aman; Medis; Konseling,Jl. Kalimas No.5, Surabaya,0823-7222-3381,24 Jam
UPTD PPA Semarang,Pemerintah (UPTD),Hukum / Litigasi; Konseling; Rujukan,Jl. Pandanaran No.17, Semarang,0813-8899-1212,08:00-16:00
RSUD Dr Kariadi,Fasilitas Kesehatan,Medis; Rujukan,Jl. Dr. Sutomo No.16, Semarang,(024) 8413476,24 Jam
UPTD PPA DIY,Pemerintah (UPTD),Hukum; Konseling; Medis,Jl. Malioboro No.50, Yogyakarta,0813-5765-2201,08:00-16:00
RSUP Sardjito,Fasilitas Kesehatan,Medis; Reintegrasi; Rujukan,Jl. Kesehatan No.1, Sleman,(0274) 631190,24 Jam
Rumah Aman Monjali,Shelter,Shelter; Konseling; Medis,Jl. Monjali No.9, Sleman,0842-6722-3910,24 Jam
UPTD PPA Bandung,Pemerintah (UPTD),Konseling; Hukum / Litigasi,Jl. Lengkong Kecil No.13, Bandung,0811-9912-7711,08:00-16:00
RS Hasan Sadikin,Fasilitas Kesehatan,Medis; Rujukan; Repatriasi,Jl. Pasteur No.38, Bandung,(022) 2034953,24 Jam
Shelter Aman Bandung,Shelter,Shelter; Konseling; Medis,Jl. Ciumbuleuit No.14, Bandung,0842-2210-9981,24 Jam
UPTD PPA Jakarta,Pemerintah (UPTD),Hukum; Medis; Konseling,Jl. Kebon Sirih No.9, Jakarta,0813-9001-8821,08:00-16:00
RSCM Jakarta,Fasilitas Kesehatan,Medis; Rujukan & Pengaduan,Jl. Salemba Raya No.5, Jakarta,(021) 1500139,24 Jam
YKP Putri Jakarta,NGO,Reintegrasi; Pelatihan; Konseling,Jl. Menteng No.44, Jakarta,0812-6671-2234,09:00-15:00
